Title,Release Date,Color/B&W,Genre,Language,Country,Rating,Lead Actor,Director Name,Lead Actor FB Likes,Cast FB Likes,Director FB Likes,Movie FB Likes,IMDb Score (1-10),Total Reviews,Duration (min),Gross Revenue,Budget
The Roommate,02-01-2011,Color,Drama,English,USA,Teens,Leighton Meester,Christian E. Christiansen,3000,5349,26,0,4.8,138.0,91,37300107,16000000
The Smurfs,30-09-2011,Color,Adventure,English,USA,Parental Guidance,Mahadeo Shivraj,Raja Gosnell,383,692,67,31000,5.5,172.0,103,142614158,110000000
The Son of No One,19-04-2011,Color,Crime,English,USA,Over 18,Channing Tatum,Dito Montiel,17000,32814,68,0,5.1,62.0,90,28870,15000000
The Three Musketeers,16-05-2011,Color,Action,English,Germany,Teens,Milla Jovovich,Paul W.S. Anderson,14000,27694,545,19000,5.8,228.0,110,20315324,75000000
The Tree of Life,18-12-2011,Color,Drama,English,USA,Teens,Brad Pitt,Terrence Malick,11000,13021,0,39000,6.7,584.0,139,13303319,32000000
There Be Dragons,08-01-2011,Color,Biography,English,Spain,Teens,Jordi MollÃ ,Roland JoffÃ©,877,3497,596,2000,5.9,77.0,102,1068392,36000000
Thor,19-01-2011,Color,Action,English,USA,Teens,Chris Hemsworth,Kenneth Branagh,26000,60059,0,63000,7.0,516.0,115,181015141,150000000
Tinker Tailor Soldier Spy,20-09-2011,Color,Drama,English,France,Over 18,Benedict Cumberbatch,Tomas Alfredson,19000,46241,140,24000,7.1,466.0,127,24104113,20000000
Tower Heist,14-12-2011,Color,Action,English,USA,Teens,Matthew Broderick,Brett Ratner,2000,3768,420,0,6.2,236.0,104,78009155,75000000
Transformers: Dark of the Moon,14-02-2011,Color,Action,English,USA,Teens,Glenn Morshower,Michael Bay,894,2593,0,46000,6.3,428.0,154,352358779,195000000
Unknown,06-03-2011,Color,Action,English,UK,Teens,Liam Neeson,Jaume Collet-Serra,14000,17152,174,29000,6.9,349.0,113,61094903,30000000
War Horse,09-04-2011,Black and White,Drama,English,USA,Teens,Jeremy Irvine,Steven Spielberg,25000,46726,14000,28000,7.2,388.0,146,79883359,66000000
Warrior,11-09-2011,Color,Drama,English,USA,Teens,Tom Hardy,Gavin O'Connor,27000,29692,149,77000,8.2,317.0,140,13651662,25000000
Water for Elephants,29-08-2011,Color,Drama,English,USA,Teens,Robert Pattinson,Francis Lawrence,21000,36062,508,33000,6.9,279.0,120,58700247,38000000
We Need to Talk About Kevin,11-04-2011,Color,Drama,English,UK,Over 18,Ezra Miller,Lynne Ramsay,3000,3547,159,38000,7.5,389.0,112,1738692,7000000
Weekend,09-11-2011,Color,Drama,English,UK,Unrated,Tom Cullen,Andrew Haigh,507,654,131,0,7.7,143.0,97,469947,120000
What's Your Number?,06-02-2011,Color,Comedy,English,USA,Over 18,Chris Evans,Mark Mylod,11000,15713,20,0,6.0,151.0,117,13987482,20000000
Winnie the Pooh,19-08-2011,Color,Adventure,English,USA,General,Craig Ferguson,Stephen J. Anderson,759,1002,15,0,7.3,162.0,63,26687172,30000000
X-Men: First Class,18-12-2011,Color,Action,English,USA,Teens,Jennifer Lawrence,Matthew Vaughn,34000,50983,905,54000,7.8,500.0,132,146405371,160000000
Young Adult,14-01-2011,Color,Comedy,English,USA,Over 18,Charlize Theron,Jason Reitman,9000,10575,655,0,6.3,325.0,94,16300302,12000000
Your Highness,17-02-2011,Color,Adventure,English,USA,Over 18,Natalie Portman,David Gordon Green,20000,45202,234,18000,5.6,208.0,102,21557240,49900000
Your Sister's Sister,22-02-2011,Color,Comedy,English,USA,Over 18,Mark Duplass,Lynn Shelton,830,973,100,3000,6.7,171.0,90,1573712,125000
Zookeeper,05-04-2011,Color,Comedy,English,USA,Parental Guidance,Rosario Dawson,Frank Coraci,3000,5392,153,0,5.2,178.0,102,80360866,80000000
2016: Obama's America,15-04-2012,Color,Documentary,English,USA,Parental Guidance,Barack Obama,Dinesh D'Souza,871,1111,67,0,5.1,30.0,87,33349949,2500000
21 Jump Street,05-11-2012,Color,Action,English,USA,Over 18,Channing Tatum,Phil Lord,17000,19968,97,39000,7.2,375.0,109,138447667,42000000
A Thousand Words,04-02-2012,Color,Comedy,English,USA,Teens,John Gatins,Brian Robbins,61,222,48,0,5.9,70.0,91,18438149,40000000
Abraham Lincoln: Vampire Hunter,16-09-2012,Color,Action,English,USA,Over 18,Rufus Sewell,Timur Bekmambetov,3000,8281,335,98000,5.9,393.0,105,37516013,69000000
Act of Valor,12-10-2012,Color,Action,English,USA,Over 18,Alex Veadov,Mike McCoy,93,146,16,15000,6.5,216.0,110,70011073,12000000
Alex Cross,02-09-2012,Color,Action,English,USA,Teens,Cicely Tyson,Rob Cohen,907,2471,357,11000,5.1,211.0,101,25863915,35000000
American Reunion,14-03-2012,Color,Comedy,English,USA,Over 18,Alyson Hannigan,Jon Hurwitz,3000,8398,22,39000,6.7,291.0,113,56724080,50000000
Amour,04-06-2012,Color,Drama,French,France,Teens,Isabelle Huppert,Michael Haneke,678,1557,0,33000,7.9,447.0,127,225377,8900000
Arbitrage,24-05-2012,Color,Drama,English,USA,Over 18,Nate Parker,Nicholas Jarecki,664,2440,27,0,6.6,288.0,107,7918283,12000000
Argo,08-01-2012,Color,Biography,English,USA,Over 18,Clea DuVall,Ben Affleck,1000,3133,0,89000,7.7,656.0,130,136019448,44500000
Atlas Shrugged II: The Strike,27-04-2012,Color,Drama,English,USA,Teens,Robert Picardo,John Putch,823,5262,60,0,5.5,23.0,111,3333823,10000000
Bachelorette,03-10-2012,Color,Comedy,English,USA,Over 18,Kirsten Dunst,Leslye Headland,4000,8353,21,0,5.3,156.0,87,418268,3000000
Battleship,01-07-2012,Color,Action,English,USA,Teens,Liam Neeson,Peter Berg,14000,26679,532,44000,5.9,377.0,131,65173160,209000000
Beasts of the Southern Wild,09-08-2012,Color,Drama,English,USA,Teens,QuvenzhanÃ© Wallis,Benh Zeitlin,2000,2658,188,31000,7.3,663.0,93,12784397,1800000
Big Miracle,26-12-2012,Color,Biography,English,USA,Parental Guidance,Ted Danson,Ken Kwapis,875,1702,42,0,6.5,125.0,107,20113965,40000000
Blue Like Jazz,12-06-2012,Color,Comedy,English,USA,Teens,Jason Marsden,Steve Taylor,1000,1805,14,0,6.0,38.0,108,594904,1200000
Brave,16-03-2012,Color,Adventure,English,USA,Parental Guidance,Kelly Macdonald,Mark Andrews,2000,5005,56,39000,7.2,488.0,93,237282182,185000000
Bullet to the Head,25-09-2012,Color,Action,English,USA,Over 18,Sylvester Stallone,Walter Hill,13000,25418,394,10000,5.7,279.0,92,9483821,55000000
Burn,11-11-2012,Color,Documentary,English,USA,Unrated,Brendan Doogie Milewski,Tom Putnam,2,2,15,801,7.5,22.0,86,111300,225000
Casa de mi Padre,30-05-2012,Color,Comedy,Spanish,USA,Over 18,Will Ferrell,Matt Piedmont,8000,10123,4,9000,5.5,133.0,84,5895238,6000000
Chasing Mavericks,24-02-2012,Color,Biography,English,USA,Parental Guidance,Gerard Butler,Michael Apted,18000,21200,150,13000,7.2,116.0,116,6002756,20000000
Chernobyl Diaries,30-03-2012,Color,Horror,English,USA,Over 18,Jesse McCartney,Bradley Parker,1000,2665,18,24000,5.0,270.0,86,18112929,1000000
Chronicle,02-06-2012,Color,Drama,English,USA,Teens,Michael Kelly,Josh Trank,963,2054,128,32000,7.1,414.0,89,64572496,12000000
Cloud Atlas,28-06-2012,Color,Drama,English,Germany,Over 18,Tom Hanks,Tom Tykwer,15000,22686,670,124000,7.5,511.0,172,27098580,102000000
Compliance,28-09-2012,Color,Biography,English,USA,Over 18,Dreama Walker,Craig Zobel,601,1734,25,0,6.4,286.0,90,318622,270000
Contraband,21-05-2012,Color,Action,English,USA,Over 18,J.K. Simmons,Baltasar KormÃ¡kur,24000,26625,175,0,6.5,270.0,109,66489425,25000000
Dark Shadows,13-03-2012,Color,Comedy,English,USA,Teens,Johnny Depp,Tim Burton,40000,80849,13000,82000,6.2,526.0,113,79711678,100000000
Deadfall,10-06-2012,Color,Crime,English,USA,Over 18,Charlie Hunnam,Stefan Ruzowitzky,16000,27575,24,0,6.3,162.0,95,65804,12000000
Detention of the Dead,01-09-2012,Color,Comedy,English,USA,Unrated,Justin Chon,Alex Craig Mann,552,2251,38,898,4.6,29.0,87,1332,500000
Diary of a Wimpy Kid: Dog Days,28-04-2012,Color,Comedy,English,USA,Parental Guidance,Zachary Gordon,David Bowers,975,3153,42,0,6.4,88.0,94,49002815,22000000
Django Unchained,27-12-2012,Color,Drama,English,USA,Over 18,Leonardo DiCaprio,Quentin Tarantino,29000,40978,16000,199000,8.5,765.0,165,162804648,100000000
Dredd,26-03-2012,Color,Action,English,UK,Over 18,Wood Harris,Pete Travis,409,578,38,46000,7.1,432.0,95,13401683,35000000
Eddie: The Sleepwalking Cannibal,29-07-2012,Color,Comedy,English,Canada,Unrated,Stephen McHattie,Boris Rodriguez,413,843,5,932,5.7,56.0,83,1521,1500000
End of Watch,14-03-2012,Color,Crime,English,USA,Over 18,Jake Gyllenhaal,David Ayer,15000,27788,453,38000,7.7,355.0,109,40983001,7000000
Ernest & Celestine,22-10-2012,Color,Animation,French,France,Parental Guidance,Mackenzie Foy,StÃ©phane Aubier,6000,6829,2,0,7.9,99.0,80,71442,9600000
Filly Brown,05-05-2012,Color,Drama,English,USA,Over 18,Noel Gugliemi,Youssef Delara,2000,2459,8,0,5.7,16.0,80,2833383,427000
Flight,14-07-2012,Color,Drama,English,USA,Over 18,Denzel Washington,Robert Zemeckis,18000,20952,0,64000,7.3,449.0,138,93749203,31000000
"For a Good Time, Call...",11-10-2012,Color,Comedy,English,USA,Over 18,James Wolk,Jamie Travis,938,3770,15,0,6.0,115.0,88,1243961,850000
For Greater Glory: The True Story of Cristiada,10-12-2012,Color,Drama,Spanish,Mexico,Over 18,Santiago Cabrera,Dean Wright,639,1807,0,0,6.6,43.0,145,5669081,10818775
Frankenweenie,18-01-2012,Black and White,Animation,English,USA,Parental Guidance,Martin Landau,Tim Burton,940,4774,13000,25000,7.0,370.0,87,35287788,39000000
Fun Size,24-10-2012,Color,Adventure,English,USA,Teens,Thomas McDonell,Josh Schwartz,962,3715,90,0,5.4,77.0,86,9402410,14000000
Hardflip,17-08-2012,Color,Action,English,USA,Teens,Matthew Ziff,Johnny Remo,260000,263584,74,706,5.6,2.0,112,96734,1000000
Here Comes the Boom,02-02-2012,Color,Action,English,USA,Parental Guidance,Salma Hayek,Frank Coraci,4000,6727,153,17000,6.5,154.0,105,45290318,42000000
Hit and Run,01-03-2012,Color,Action,English,USA,Over 18,Bradley Cooper,David Palmer,14000,15922,21,0,6.1,176.0,100,13746550,2000000
Hope Springs,25-06-2012,Color,Comedy,English,USA,Teens,Meryl Streep,David Frankel,11000,19420,64,0,6.3,234.0,100,63536011,30000000
Hotel Transylvania,11-12-2012,Color,Animation,English,USA,Parental Guidance,Steve Buscemi,Genndy Tartakovsky,12000,37142,266,28000,7.1,256.0,91,148313048,85000000
House at the End of the Street,25-08-2012,Color,Drama,English,Canada,Teens,Jennifer Lawrence,Mark Tonderai,34000,35717,13,10000,5.6,224.0,101,31607598,6900000
Ice Age: Continental Drift,16-02-2012,Color,Adventure,English,USA,Parental Guidance,Peter Dinklage,Steve Martino,22000,25354,20,14000,6.6,233.0,88,161317423,95000000
Inescapable,21-12-2012,Color,Drama,English,Canada,Over 18,Saad Siddiqui,Ruba Nadda,223,242,55,657,5.2,36.0,93,4063,4000000
Jab Tak Hai Jaan,24-04-2012,Color,Drama,Hindi,India,Unrated,Shah Rukh Khan,Yash Chopra,8000,13762,147,12000,6.9,50.0,176,3047539,7217600
Jack Reacher,08-06-2012,Color,Action,English,USA,Teens,Tom Cruise,Christopher McQuarrie,10000,16385,188,38000,7.0,387.0,130,80033643,60000000
John Carter,04-09-2012,Color,Action,English,USA,Teens,Daryl Sabara,Andrew Stanton,640,1873,475,24000,6.6,462.0,132,73058679,263700000
Journey 2: The Mysterious Island,04-06-2012,Color,Action,English,USA,Parental Guidance,Josh Hutcherson,Brad Peyton,14000,27842,62,0,5.8,178.0,94,103812241,79000000
Joyful Noise,14-06-2012,Color,Comedy,English,USA,Teens,Dolly Parton,Todd Graff,1000,3389,650,0,5.7,98.0,118,30920167,25000000
Katy Perry: Part of Me,07-09-2012,Color,Documentary,English,USA,Parental Guidance,Lexie Contursi,Dan Cutforth,28,52,4,0,5.9,68.0,93,25240988,12000000
Killing Them Softly,14-06-2012,Color,Crime,English,USA,Over 18,Brad Pitt,Andrew Dominik,11000,14025,181,20000,6.2,414.0,97,14938570,15000000
Les MisÃ©rables,01-08-2012,Color,Drama,English,USA,Teens,Hugh Jackman,Tom Hooper,20000,46204,0,144000,7.6,488.0,158,148775460,61000000
Life of Pi,02-10-2012,Color,Adventure,English,USA,Parental Guidance,Suraj Sharma,Ang Lee,774,2121,0,122000,8.0,552.0,127,124976634,120000000
Lincoln,12-12-2012,Color,Biography,English,USA,Teens,Joseph Gordon-Levitt,Steven Spielberg,23000,25517,14000,71000,7.4,538.0,150,182204440,65000000
Lockout,01-12-2012,Color,Action,English,France,Teens,Joseph Gilgun,James Mather,788,1414,4,10000,6.1,289.0,95,14291570,20000000
Looper,02-06-2012,Color,Action,English,USA,Over 18,Joseph Gordon-Levitt,Rian Johnson,23000,37387,0,75000,7.4,589.0,119,66468315,30000000
Madagascar 3: Europe's Most Wanted,13-09-2012,Color,Adventure,English,USA,Parental Guidance,Jada Pinkett Smith,Eric Darnell,851,2444,35,17000,6.9,211.0,93,216366733,145000000
Madea's Witness Protection,13-01-2012,Color,Comedy,English,USA,Teens,John Amos,Tyler Perry,982,2753,0,0,4.8,31.0,114,65623128,20000000
Magic Mike,07-02-2012,Color,Comedy,English,USA,Over 18,Channing Tatum,Steven Soderbergh,17000,46646,0,54000,6.1,324.0,110,113709992,7000000
Man on a Ledge,01-07-2012,Color,Action,English,USA,Teens,Robert Clohessy,Asger Leth,107,362,20,11000,6.6,258.0,102,18600911,42000000
Maniac,23-01-2012,Color,Horror,English,France,Unrated,America Olivo,Franck Khalfoun,470,1233,33,0,6.1,279.0,89,12843,6000000
Men in Black 3,03-07-2012,Color,Action,English,USA,Teens,Will Smith,Barry Sonnenfeld,10000,12572,188,40000,6.8,451.0,106,179020854,225000000
Middle of Nowhere,15-01-2012,Color,Drama,English,USA,Over 18,Omari Hardwick,Ava DuVernay,1000,3021,151,569,6.5,37.0,97,78030,200000
Mirror Mirror,22-04-2012,Color,Adventure,English,USA,Parental Guidance,Julia Roberts,Tarsem Singh,8000,11454,763,18000,5.6,382.0,106,64933670,85000000
Moonrise Kingdom,02-11-2012,Color,Adventure,English,USA,Teens,Bruce Willis,Wes Anderson,13000,27911,0,71000,7.8,487.0,94,45507053,16000000
Mud,21-03-2012,Color,Drama,English,USA,Teens,Matthew McConaughey,Jeff Nichols,11000,13960,337,27000,7.4,368.0,130,21589307,10000000
On the Road,04-04-2012,Color,Adventure,English,France,Over 18,Kristen Stewart,Walter Salles,17000,33747,179,27000,6.1,252.0,137,717753,25000000
One for the Money,03-08-2012,Color,Action,English,USA,Teens,Fisher Stevens,Julie Anne Robinson,922,3301,30,19000,5.3,127.0,91,26404753,40000000
Paranormal Activity 4,05-02-2012,Color,Horror,English,USA,Over 18,Matt Shively,Henry Joost,235,799,24,26000,4.6,248.0,96,53884821,5000000
ParaNorman,27-01-2012,Color,Adventure,English,USA,Parental Guidance,Anna Kendrick,Chris Butler,10000,13597,28,12000,7.0,328.0,92,55994557,60000000
Parental Guidance,08-07-2012,Color,Comedy,English,USA,Parental Guidance,Bailee Madison,Andy Fickman,3000,5740,99,0,6.1,139.0,105,77264926,25000000
Pitch Perfect,17-04-2012,Color,Comedy,English,USA,Teens,Anna Kendrick,Jason Moore,10000,12676,36,36000,7.2,223.0,112,64998368,17000000
Playing for Keeps,11-02-2012,Color,Comedy,English,USA,Teens,Gerard Butler,Gabriele Muccino,18000,23122,125,0,5.7,135.0,105,13101142,35000000
Premium Rush,21-04-2012,Color,Action,English,USA,Teens,Joseph Gordon-Levitt,David Koepp,23000,24669,192,20000,6.5,248.0,91,20275446,35000000
Project X,26-05-2012,Color,Comedy,English,USA,Over 18,Dax Flame,Nima Nourizadeh,971,2043,166,29000,6.7,229.0,93,54724272,12000000
Prometheus,24-11-2012,Color,Adventure,English,USA,Over 18,Michael Fassbender,Ridley Scott,13000,24098,0,97000,7.0,775.0,124,126464904,130000000
Promised Land,10-12-2012,Color,Drama,English,USA,Over 18,Matt Damon,Gus Van Sant,13000,14544,835,10000,6.6,242.0,106,7556708,15000000
Quartet,11-08-2012,Color,Comedy,English,UK,Teens,Luke Newberry,Dustin Hoffman,358,1114,0,13000,6.8,175.0,98,18381787,11000000
Red Tails,17-08-2012,Color,Action,English,USA,Teens,David Oyelowo,Anthony Hemingway,1000,4416,143,0,5.9,144.0,125,49875589,58000000
Resident Evil: Retribution,26-12-2012,Color,Action,English,Germany,Over 18,Milla Jovovich,Paul W.S. Anderson,14000,17913,545,32000,5.4,239.0,96,42345531,65000000
Rise of the Guardians,16-11-2012,Color,Adventure,English,USA,Parental Guidance,Hugh Jackman,Peter Ramsey,20000,20645,52,25000,7.3,256.0,97,103400692,145000000
Robot & Frank,08-12-2012,Color,Comedy,English,USA,Teens,Frank Langella,Jake Schreier,902,1980,14,13000,7.1,252.0,89,3325638,2500000
Rock of Ages,05-06-2012,Color,Comedy,English,USA,Teens,James Martin Kelly,Adam Shankman,394,712,163,33000,5.9,360.0,136,38509342,75000000
Safe,01-07-2012,Color,Action,English,USA,Over 18,Jason Statham,Boaz Yakin,26000,27759,132,12000,6.5,258.0,94,17120019,30000000
Safe House,06-09-2012,Color,Action,English,USA,Over 18,Denzel Washington,Daniel Espinosa,18000,36237,79,19000,6.8,298.0,115,126149655,85000000
Safety Not Guaranteed,20-06-2012,Color,Comedy,English,USA,Over 18,Mary Lynn Rajskub,Colin Trevorrow,934,2714,365,31000,7.0,271.0,86,4007792,750000
Savages,07-05-2012,Black and White,Crime,English,USA,Over 18,DemiÃ¡n Bichir,Oliver Stone,749,1948,0,28000,6.5,339.0,141,47307550,45000000
Seeking a Friend for the End of the World,02-09-2012,Black and White,Adventure,English,USA,Over 18,Steve Carell,Lorene Scafaria,7000,7747,63,25000,6.7,265.0,101,6619173,10000000
Seven Psychopaths,25-02-2012,Color,Comedy,English,UK,Over 18,Abbie Cornish,Martin McDonagh,2000,4757,454,52000,7.2,401.0,110,14989761,15000000
Silent Hill: Revelation 3D,04-12-2012,Color,Adventure,English,France,Over 18,Radha Mitchell,Michael J. Bassett,991,2173,83,25000,5.0,173.0,95,17529157,20000000
Silver Linings Playbook,05-11-2012,Color,Comedy,English,USA,Over 18,Jennifer Lawrence,David O. Russell,34000,72115,737,117000,7.8,539.0,122,132088910,21000000
Sinister,14-12-2012,Color,Horror,English,USA,Over 18,Danielle Kotch,Scott Derrickson,1000,2239,301,58000,6.8,411.0,110,48056940,3000000
Skyfall,28-05-2012,Color,Action,English,UK,Teens,Albert Finney,Sam Mendes,883,2039,0,80000,7.8,750.0,143,304360277,200000000
Snow White and the Huntsman,10-01-2012,Color,Action,English,USA,Teens,Chris Hemsworth,Rupert Sanders,26000,72881,274,53000,6.1,416.0,132,155111815,170000000
Sparkle,28-05-2012,Color,Drama,English,USA,Teens,Omari Hardwick,Salim Akil,1000,5804,70,0,5.7,82.0,116,24397469,17000000
Spring Breakers,30-11-2012,Color,Crime,English,USA,Over 18,James Franco,Harmony Korine,11000,12306,520,25000,5.3,444.0,94,14123773,5000000
Step Up Revolution,11-07-2012,Color,Drama,English,USA,Teens,Ryan Guzman,Scott Speer,3000,4863,35,19000,6.5,121.0,99,35057332,33000000
Stolen,09-05-2012,Color,Action,English,USA,Over 18,Nicolas Cage,Simon West,12000,14978,165,0,5.5,98.0,96,183125,35000000
Taken 2,11-05-2012,Color,Action,English,France,Teens,Liam Neeson,Olivier Megaton,14000,16410,118,63000,6.3,358.0,98,139852971,45000000
Ted,03-09-2012,Color,Comedy,English,USA,Over 18,Mila Kunis,Seth MacFarlane,15000,21773,3000,74000,7.0,457.0,112,218628680,50000000
That's My Boy,16-05-2012,Color,Comedy,English,USA,Over 18,Adam Sandler,Sean Anders,11000,16484,51,12000,5.6,157.0,116,36931089,70000000
The Act of Killing,11-09-2012,Color,Biography,Indonesian,UK,Unrated,Anwar Congo,Joshua Oppenheimer,3,6,50,20000,8.2,248.0,96,484221,1000000
The Amazing Spider-Man,26-10-2012,Color,Action,English,USA,Teens,Emma Stone,Marc Webb,15000,28489,464,56000,7.0,599.0,153,262030663,230000000
The Apparition,18-05-2012,Color,Horror,English,USA,Teens,Julianna Guill,Todd Lincoln,465,730,57,0,4.1,145.0,83,4930798,17000000
The Avengers,28-07-2012,Color,Action,English,USA,Teens,Chris Hemsworth,Joss Whedon,26000,87697,0,123000,8.1,703.0,173,623279547,220000000
The Bourne Legacy,16-11-2012,Color,Action,English,USA,Teens,Jeremy Renner,Tony Gilroy,10000,12175,209,31000,6.7,436.0,135,113165635,125000000
The Brass Teapot,24-02-2012,Color,Comedy,English,USA,Over 18,Jack McBrayer,Ramaa Mosley,975,4184,6,0,6.4,62.0,101,6643,900000
The Cabin in the Woods,06-04-2012,Color,Fantasy,English,USA,Over 18,Chris Hemsworth,Drew Goddard,26000,29551,246,66000,7.0,634.0,95,42043633,30000000
The Campaign,02-08-2012,Color,Comedy,English,USA,Over 18,Will Ferrell,Jay Roach,8000,9271,116,18000,6.2,255.0,85,86897182,95000000
The Cold Light of Day,20-05-2012,Color,Action,English,USA,Teens,Henry Cavill,Mabrouk El Mechri,15000,30134,19,0,4.9,119.0,93,3749061,20000000
The Collection,24-05-2012,Color,Action,English,USA,Over 18,Daniel Sharman,Marcus Dunstan,1000,3818,87,14000,6.1,147.0,82,6842058,10000000
The Dark Knight Rises,18-07-2012,Color,Action,English,USA,Teens,Tom Hardy,Christopher Nolan,27000,106759,22000,164000,8.5,813.0,164,448130642,250000000
The Devil Inside,27-10-2012,Color,Horror,English,USA,Over 18,Fernanda Andrade,William Brent Bell,403,988,19,12000,4.2,225.0,83,53245055,1000000
The Dictator,15-04-2012,Color,Comedy,English,USA,Over 18,Sayed Badreya,Larry Charles,600,1375,119,59000,6.4,313.0,99,59617068,65000000
The Expendables 2,17-03-2012,Color,Action,English,USA,Over 18,Jason Statham,Simon West,26000,57881,165,108000,6.7,383.0,103,85017401,92000000
The Five-Year Engagement,02-08-2012,Color,Comedy,English,USA,Over 18,Alison Brie,Nicholas Stoller,2000,3479,89,11000,6.2,232.0,131,28644770,30000000
